peak_luminosity,peak_luminosity_err_upper,peak_luminosity_err_lower,global_aperture_host_log_sfr,global_aperture_host_log_sfr_err_upper,global_aperture_host_log_sfr_err_lower
42.7042181121174,0.028000000000000004,0.028000000000000004,0.8719376239462848,0.4294536098655213,0.334545692656923
42.79621811211741,0.12,0.12,-0.5536859013063243,1.321537258143473,1.3464953668916788
40.9882181121174,0.16000000000000003,0.16000000000000003,0.07433853097646494,0.42567079939809005,0.606541736883479
42.5762181121174,0.10400000000000001,0.10400000000000001,0.13891727863065584,0.38130640795121273,0.4350004643527878
42.2562181121174,0.04000000000000001,0.04000000000000001,-1.1174971412346142,0.8623229840925397,1.1283602699750104
42.44821811211741,0.044000000000000004,0.044000000000000004,-0.8355271227004473,0.28697256758569045,0.4001648124714716
41.620218112117406,0.124,0.124,0.6743294890377793,0.20443673873780244,0.19118796691805917
42.200218112117405,0.072,0.072,-1.0031564434034266,0.39191782455916335,0.3607577734273588
42.212218112117405,0.028000000000000004,0.028000000000000004,1.4306730758900181,0.4426224014338256,0.4732612566995691
42.19621811211741,0.072,0.072,-0.775914342974662,0.3607770140425991,0.34011224025274944
42.15621811211741,0.024,0.024,0.7223333879439499,0.3453360998997276,0.4106815266486757
42.032218112117405,0.064,0.064,1.2607527708497503,0.3336965560775744,0.6680537409575675
42.288218112117406,0.04000000000000001,0.04000000000000001,1.1372987658744549,0.6285694182630026,0.5816280020320939
41.8442181121174,0.12,0.12,0.11918693282613922,0.9420223295842323,1.625659168978998
42.63221811211741,0.06,0.06,-0.39515439134786867,0.30327072910183217,0.5508095805059783
42.15621811211741,0.12,0.12,0.6354405588725636,0.3651292329234599,0.49605672869153994
42.31221811211741,0.096,0.096,0.17265178867802114,0.34410084641525296,0.3365569610936356
41.96421811211741,0.124,0.124,-0.10414368376698846,0.5781772522348224,0.9255440447544094
42.480218112117406,0.132,0.132,-0.43074229587350804,0.6094695165917382,1.125062160086691
42.0362181121174,0.068,0.068,0.21607688128114427,0.39167403656063754,0.39051201212468367
42.0762181121174,0.052000000000000005,0.052000000000000005,1.1278486666406178,0.33691272070545275,0.42534668677641174
41.90021811211741,0.11599999999999999,0.11599999999999999,-0.7497972333175175,0.3598789730596671,0.4200087956266133
42.77221811211741,0.028000000000000004,0.028000000000000004,0.460780913958147,0.45854507319610704,0.6451296098596411
41.992218112117406,0.072,0.072,-1.136713657411183,0.38756592851758964,0.5366149875574036
41.87621811211741,0.05600000000000001,0.05600000000000001,-0.24981772974647842,0.28795327551642147,0.27875981491167257
41.800218112117406,0.08800000000000001,0.08800000000000001,0.13543765874273575,0.3274584027655638,0.3611525150314328
42.7682181121174,0.11599999999999999,0.11599999999999999,-1.5168338870653317,0.7635317473797433,1.2276184798959402
42.27221811211741,0.036,0.036,1.349199218855585,0.37395932284530553,0.44347861912660036
42.06821811211741,0.072,0.072,0.6103297118092643,0.4852380563146721,0.5357297666510226
42.19221811211741,0.064,0.064,0.7814333470021141,0.21614338233744546,0.2824983203985528
41.74821811211741,0.05600000000000001,0.05600000000000001,0.033007818616756,0.34982588198313685,0.37868822747254816
42.18021811211741,0.11599999999999999,0.11599999999999999,-1.1745137346658423,0.4202534507043926,0.38151994660711175
41.6002181121174,0.1,0.1,0.5381291605240894,0.3951168178414013,0.4253001168297659
42.060218112117404,0.05600000000000001,0.05600000000000001,-0.7574525385262738,0.4898226355062851,0.6094471988399286
42.404218112117405,0.036,0.036,0.7627790946570144,0.5362795999629771,0.7611289405929171
42.660218112117406,0.048,0.048,0.4249148589338683,0.41634286807416726,0.44624988952506395
41.6522181121174,0.124,0.124,0.5315225488394907,0.35715111894152785,0.2955726711283231
41.79621811211741,0.08000000000000002,0.08000000000000002,0.5293228437015276,0.3028252038275867,0.26783719379295395
42.35,0.99,0.99,-0.138648917001493,0.4210044094738,0.35632464335605196
42.41221811211741,0.12,0.12,-0.6454509357759581,0.488712036436337,0.3114064576497285
42.88,0.98,0.98,0.2779822046638,0.40313010668034194,0.517886694383462
42.39,0.99,0.99,0.719876895769188,0.36807076205298206,0.510771531822056
