peak_luminosity,peak_luminosity_err_upper,peak_luminosity_err_lower,local_sfd,local_sfd_err_upper,local_sfd_err_lower
42.7042181121174,0.028000000000000004,0.028000000000000004,0.003957983623330614,0.004946661621067691,0.002196860239282908
42.79621811211741,0.12,0.12,0.014820383182310175,0.019887635673980004,0.008752949387074733
42.5762181121174,0.10400000000000001,0.10400000000000001,0.003111622507148377,0.004871024547982269,0.0019265029060361587
42.2562181121174,0.04000000000000001,0.04000000000000001,0.00497189572104949,0.02783811765602416,0.004438998079391282
42.44821811211741,0.044000000000000004,0.044000000000000004,0.35897517018854835,0.8562996281088271,0.2864892372859006
41.69621811211741,0.12,0.12,0.002074660325062558,0.003580501503774172,0.0011780704393291445
41.620218112117406,0.124,0.124,0.006324573869280842,0.004955385447553886,0.002742925309620753
42.200218112117405,0.072,0.072,0.004928020218533519,0.007113840702128114,0.0029903139821556655
42.212218112117405,0.028000000000000004,0.028000000000000004,0.009354648382831803,0.030321811515419156,0.008065831426966368
42.19621811211741,0.072,0.072,0.01019316263463379,0.03267612058743052,0.008166684325893552
42.15621811211741,0.024,0.024,0.13791090008106677,0.11748969820565053,0.08477099483518263
42.032218112117405,0.064,0.064,0.0880819522849985,0.1112593399500555,0.04410236472661194
42.288218112117406,0.04000000000000001,0.04000000000000001,0.077176703930439,0.09641456326997715,0.047612659981707814
41.8442181121174,0.12,0.12,0.01908476782143036,0.016257787283760695,0.009935900507590368
42.63221811211741,0.06,0.06,0.0016542042150705322,0.002159974026549061,0.0011234910641186903
42.15621811211741,0.12,0.12,0.03241346142119228,0.041503864210472446,0.019823259360767155
42.31221811211741,0.096,0.096,0.0121156448394931,0.022984211797805902,0.007501997647331327
42.4882181121174,0.05600000000000001,0.05600000000000001,0.005206629821927565,0.014592449223712053,0.003995283162925056
42.0362181121174,0.068,0.068,0.009010908186210776,0.0159416217914743,0.006907244304254047
42.0762181121174,0.052000000000000005,0.052000000000000005,0.20032621258290403,0.23682988603242736,0.14234209206054227
42.27221811211741,0.024,0.024,0.015190955758083513,0.027676762061990448,0.01115182353488152
42.77221811211741,0.028000000000000004,0.028000000000000004,0.03328380927153775,0.07441559278549471,0.022949614860270872
41.992218112117406,0.072,0.072,0.0022479588060419745,0.004404854317423759,0.0013935747465309454
41.87621811211741,0.05600000000000001,0.05600000000000001,0.005270788705900578,0.004869644365112561,0.0024708420492902576
42.6642181121174,0.020000000000000004,0.020000000000000004,0.051036892932115156,0.07676395611151188,0.03347038922511625
41.800218112117406,0.08800000000000001,0.08800000000000001,0.0004774465917030504,0.0005666836890050799,0.00026389597601378216
42.7682181121174,0.11599999999999999,0.11599999999999999,0.0039097209166378145,0.00746206829788266,0.002570884961868799
42.06821811211741,0.072,0.072,0.008740692778062954,0.02823062036560617,0.006944198870022931
42.19221811211741,0.064,0.064,0.055464774328619945,0.0974397516335705,0.04467507247668147
41.74821811211741,0.05600000000000001,0.05600000000000001,0.006752540943205291,0.0051911834347982255,0.0034951639661926124
41.904218112117405,0.05600000000000001,0.05600000000000001,0.007231956104752397,0.009266151536739766,0.004466499351749125
41.6002181121174,0.1,0.1,0.009178554747161213,0.019315066732378917,0.005088317884107379
42.060218112117404,0.05600000000000001,0.05600000000000001,0.003066684626129096,0.00766100395716268,0.0022174885178050155
42.404218112117405,0.036,0.036,0.05468667117702771,0.07561693594739266,0.039536764982225095
42.660218112117406,0.048,0.048,0.012143309563614138,0.012090191299144957,0.00894866007358537
41.6522181121174,0.124,0.124,0.012059255224918748,0.015681476417983217,0.00769165814130578
41.79621811211741,0.08000000000000002,0.08000000000000002,0.008479588202218882,0.006739500359523394,0.0037094207518270335
42.35,0.99,0.99,0.0385202046877065,0.08384952562982503,0.028152357126290564
42.88,0.98,0.98,0.2752467978525385,0.3181448699839328,0.18705093125282768
42.35,0.99,0.99,0.004014042175243928,0.004218480185741003,0.0022203193504647034
42.39,0.99,0.99,0.004509781335204692,0.01841883017832036,0.0035875083291873043
