peak_luminosity,peak_luminosity_err_upper,peak_luminosity_err_lower,local_aperture_host_logzsol,local_aperture_host_logzsol_err_upper,local_aperture_host_logzsol_err_lower
42.7042181121174,0.028000000000000004,0.028000000000000004,-0.11273800954222679,0.23573197628557682,0.7631136197149754
42.79621811211741,0.12,0.12,-0.7543604075908661,0.5075636208355427,0.6763269429206848
40.9882181121174,0.16000000000000003,0.16000000000000003,-0.06987333670258522,0.17429499707371,0.5792218139469624
42.5762181121174,0.10400000000000001,0.10400000000000001,-0.7955511212348938,0.4258016805052759,0.7104919230937958
42.2562181121174,0.04000000000000001,0.04000000000000001,-1.2438836693763733,0.5208455997109414,0.5216588499546051
42.44821811211741,0.044000000000000004,0.044000000000000004,-1.7504953145980835,0.27278977477550503,0.15811869323253624
41.69621811211741,0.12,0.12,-1.4112567901611328,0.5368978003859521,0.34563469076156617
41.620218112117406,0.124,0.124,-0.9535810947418213,0.2687243008613587,0.35012518584728247
42.200218112117405,0.072,0.072,-1.1742210388183594,0.4271354694366457,0.5212120283842088
42.212218112117405,0.028000000000000004,0.028000000000000004,-1.117469847202301,0.705125583738089,0.5528025200366973
42.19621811211741,0.072,0.072,-1.1972588300704956,0.6301993664503099,0.46197210967540747
42.15621811211741,0.024,0.024,-1.8006862998008728,0.2434715118408204,0.12369061064720155
42.032218112117405,0.064,0.064,-0.27168260514736176,0.11766318419575694,0.15327328506112098
42.288218112117406,0.04000000000000001,0.04000000000000001,-0.8503484427928925,0.5203353035748005,0.6300551024675369
41.8442181121174,0.12,0.12,-1.014053225517273,0.40504531377553943,0.5018069586753846
42.63221811211741,0.06,0.06,-1.496094822883606,0.5420657582879067,0.34527410590648655
42.15621811211741,0.12,0.12,-1.6513201594352722,0.35463816297054307,0.2255042253732682
42.31221811211741,0.096,0.096,-1.062976360321045,0.5327383831739427,0.6117454991340636
42.4882181121174,0.05600000000000001,0.05600000000000001,-0.5436404645442963,0.5842367659658194,1.1063707658052444
42.0362181121174,0.068,0.068,-0.8070329129695892,0.4546052780151368,0.6609048264026642
42.0762181121174,0.052000000000000005,0.052000000000000005,-0.26653149724006653,0.2621451332531868,0.48189167547225953
42.27221811211741,0.024,0.024,-0.8041761219501495,0.4616432342827321,0.6451136491298675
42.77221811211741,0.028000000000000004,0.028000000000000004,-1.1231157779693604,0.49642084258794805,0.5213421037197112
41.992218112117406,0.072,0.072,-0.5770482122898102,0.21653049361705778,0.45692971074581146
41.87621811211741,0.05600000000000001,0.05600000000000001,-1.0115882754325867,0.1835309226512909,0.18498627316951755
42.6642181121174,0.020000000000000004,0.020000000000000004,-0.01842466089874506,0.14478252132982017,0.3222240383550525
41.800218112117406,0.08800000000000001,0.08800000000000001,-1.477196753025055,0.41253152871131915,0.3020376833677292
42.7682181121174,0.11599999999999999,0.11599999999999999,-0.46910734474658966,0.5112476980201901,1.0621788748502732
42.06821811211741,0.072,0.072,-1.5520640015602112,0.444738487958908,0.28287914192676533
42.19221811211741,0.064,0.064,-1.1423973441123962,0.5190332740545275,0.551669215798378
41.74821811211741,0.05600000000000001,0.05600000000000001,-1.0312656164169312,0.4862696045041085,0.47938071882724764
41.904218112117405,0.05600000000000001,0.05600000000000001,-0.6285305619239807,0.4080637688636781,0.6956959363222122
41.6002181121174,0.1,0.1,-1.3023551106452942,0.6523760290145874,0.42164174282550815
42.060218112117404,0.05600000000000001,0.05600000000000001,-0.8499550819396973,0.6417791724205018,0.7604470584392549
42.404218112117405,0.036,0.036,-1.0240986943244934,0.5508526479303839,0.7246080967187882
42.660218112117406,0.048,0.048,-1.0106409192085266,0.6033531529605389,0.5822712709903717
41.6522181121174,0.124,0.124,-1.4079001545906067,0.5749857032299042,0.3930828535556794
41.79621811211741,0.08000000000000002,0.08000000000000002,-0.6134465038776398,0.14706790420413018,0.23789828097820287
42.35,0.99,0.99,-0.520569354295731,0.335648527607322,0.5068580709695789
42.88,0.98,0.98,-1.33295369148254,0.438653598845001,0.37421233403682996
42.35,0.99,0.99,-1.10100150108337,0.5081111065745311,0.5763537489175801
42.39,0.99,0.99,-1.4237813949585,0.5199791502356571,0.37888475751875994
