peak_luminosity,peak_luminosity_err_upper,peak_luminosity_err_lower,global_aperture_host_logzsol,global_aperture_host_logzsol_err_upper,global_aperture_host_logzsol_err_lower
42.7042181121174,0.028000000000000004,0.028000000000000004,-0.33545590937137604,0.31901859802938964,0.37253649413585666
42.79621811211741,0.12,0.12,-0.557476133108139,0.2948489568829535,0.5575567404031754
40.9882181121174,0.16000000000000003,0.16000000000000003,-0.9128326177597046,0.5888173582553864,0.6684343329668045
42.5762181121174,0.10400000000000001,0.10400000000000001,-0.3086143732070923,0.2888333424944432,0.3763246447443962
42.2562181121174,0.04000000000000001,0.04000000000000001,-0.8462094962596893,0.3673037668168545,0.6608517395257949
42.44821811211741,0.044000000000000004,0.044000000000000004,-1.7095260620117188,0.17170802366733562,0.15217584121227268
41.620218112117406,0.124,0.124,-0.5909352898597717,0.2646596956253051,0.2663613061904907
42.200218112117405,0.072,0.072,-1.1182075142860413,0.37445526385307315,0.45691305673122407
42.212218112117405,0.028000000000000004,0.028000000000000004,-0.6294543445110321,0.5852894309982658,0.9991017746925355
42.19621811211741,0.072,0.072,-1.559849739074707,0.4752084956169129,0.27120105063915245
42.15621811211741,0.024,0.024,-1.656522274017334,0.37924966573715224,0.22820873141288756
42.032218112117405,0.064,0.064,-0.5872152745723724,0.277747082322836,0.4359204914569854
42.288218112117406,0.04000000000000001,0.04000000000000001,-0.3858529031276703,0.32210663897544156,0.8104066303968429
41.8442181121174,0.12,0.12,-0.6329154074192047,0.39933280977606794,0.4980969321727753
42.63221811211741,0.06,0.06,-0.9385725557804108,0.2580074343085289,0.34122813808917996
42.15621811211741,0.12,0.12,-0.6310968995094299,0.3080344373881818,0.36322257781028744
42.31221811211741,0.096,0.096,-1.143231213092804,0.3927297127246856,0.4453950604200363
41.96421811211741,0.124,0.124,-1.378379762172699,0.5524688096046448,0.40491851556301106
42.480218112117406,0.132,0.132,-0.5053965747356415,0.19793529549241068,0.4328880643844605
42.0362181121174,0.068,0.068,-0.716486394405365,0.3407600052654743,0.5263496001958847
42.0762181121174,0.052000000000000005,0.052000000000000005,-0.15865200757980347,0.23455755888670682,0.48375682222843164
41.90021811211741,0.11599999999999999,0.11599999999999999,-0.5078752040863037,0.11789976102113725,0.14808356785774235
42.77221811211741,0.028000000000000004,0.028000000000000004,-0.6426037847995758,0.232144238293171,0.3283474377989769
41.992218112117406,0.072,0.072,-0.39936913549900055,0.0978920597732067,0.11664465761184695
41.87621811211741,0.05600000000000001,0.05600000000000001,-0.4214312732219696,0.16628297460079194,0.2245746403336525
41.800218112117406,0.08800000000000001,0.08800000000000001,-1.1112055778503418,0.3966383619904519,0.5309079602956772
42.7682181121174,0.11599999999999999,0.11599999999999999,-1.0367775559425354,0.3417972229719163,0.37347598063945764
42.27221811211741,0.036,0.036,-0.37395188212394714,0.2677298996225,0.4908616108894348
42.06821811211741,0.072,0.072,-1.0670347809791565,0.6698703849017621,0.5791018356084823
42.19221811211741,0.064,0.064,-0.4332694709300995,0.17367544522881512,0.2332411450147629
41.74821811211741,0.05600000000000001,0.05600000000000001,-0.30050814151763916,0.2759973800312727,0.2585069407224655
42.18021811211741,0.11599999999999999,0.11599999999999999,-0.2588733434677124,0.12938305386900906,0.26356558740139
41.6002181121174,0.1,0.1,-0.4552259147167206,0.32723662938177595,0.5005393435359001
42.060218112117404,0.05600000000000001,0.05600000000000001,-0.5833889544010162,0.2999975807666779,0.5312517257928848
42.404218112117405,0.036,0.036,-0.9786647856235504,0.6192238318920136,0.705772505402565
42.660218112117406,0.048,0.048,-0.7057542204856873,0.4035399391055107,0.5924261665344239
41.6522181121174,0.124,0.124,-0.2885194569826126,0.19880910453200346,0.4609617524147034
41.79621811211741,0.08000000000000002,0.08000000000000002,-0.23650246113538742,0.1191596087068319,0.158554174721241
42.35,0.99,0.99,-0.515375405550003,0.28246790808439204,0.28600213152170195
42.41221811211741,0.12,0.12,-0.5415202975273132,0.458179120130837,0.5229873859882355
42.88,0.98,0.98,-1.33876419067383,0.36358061212301385,0.3950339500904101
42.39,0.99,0.99,-0.522577852010727,0.25729634466767304,0.44520882946252793
