peak_luminosity,peak_luminosity_err_upper,peak_luminosity_err_lower,global_aperture_host_log_mass,global_aperture_host_log_mass_err_upper,global_aperture_host_log_mass_err_lower
42.7042181121174,0.028000000000000004,0.028000000000000004,11.078072598873817,0.0794968107760603,0.07219067361272913
42.79621811211741,0.12,0.12,10.418606788105556,0.15679409078715167,0.1874626812720006
40.9882181121174,0.16000000000000003,0.16000000000000003,9.860369359642474,0.14931918629881658,0.20675568939277333
42.5762181121174,0.10400000000000001,0.10400000000000001,10.28555128921223,0.1428380184791358,0.21885458338052466
42.2562181121174,0.04000000000000001,0.04000000000000001,9.549701644358809,0.11990185692559407,0.209248805929672
42.44821811211741,0.044000000000000004,0.044000000000000004,10.007806209104693,0.07041781140528869,0.0725133924300767
41.620218112117406,0.124,0.124,10.645122594101064,0.09641458015364712,0.09678366047112874
42.200218112117405,0.072,0.072,9.190098633064496,0.0955564171122294,0.11534881882358228
42.212218112117405,0.028000000000000004,0.028000000000000004,10.510768543554718,0.3981303236640503,0.7511879636525904
42.19621811211741,0.072,0.072,8.839746475374719,0.10009850770157236,0.1511932400799143
42.15621811211741,0.024,0.024,9.175149551636682,0.1652333522294036,0.19405781355774465
42.032218112117405,0.064,0.064,11.112658659391151,0.129081541762881,0.12506333523457158
42.288218112117406,0.04000000000000001,0.04000000000000001,11.14825358302707,0.12590613607269852,0.19833666074869782
41.8442181121174,0.12,0.12,10.743778919159688,0.13082558595885452,0.12510464405015043
42.63221811211741,0.06,0.06,9.961402702762236,0.10355281515703041,0.09565616786920117
42.15621811211741,0.12,0.12,10.964739284174586,0.10698161839460951,0.07365520955678484
42.31221811211741,0.096,0.096,10.317235056465064,0.10564366505566092,0.10539751889218074
41.96421811211741,0.124,0.124,10.275372123643194,0.11552755967333717,0.14556955970046914
42.480218112117406,0.132,0.132,10.461022355776793,0.11189001825116662,0.08398112518065659
42.0362181121174,0.068,0.068,10.705789046025938,0.1099948458203226,0.08252777786293386
42.0762181121174,0.052000000000000005,0.052000000000000005,10.700726432454573,0.14964949197307575,0.12782163936391377
41.90021811211741,0.11599999999999999,0.11599999999999999,10.674108395021344,0.03947575706297535,0.04948649561166718
42.77221811211741,0.028000000000000004,0.028000000000000004,10.541414187997708,0.13910161207795824,0.1496536493402605
41.992218112117406,0.072,0.072,10.892018799056817,0.02997513616699443,0.07016112817537845
41.87621811211741,0.05600000000000001,0.05600000000000001,10.213498333110449,0.08294371473672335,0.07731752370243683
41.800218112117406,0.08800000000000001,0.08800000000000001,10.112633532198949,0.11503437468805977,0.09781691105617263
42.7682181121174,0.11599999999999999,0.11599999999999999,9.881636957576207,0.1196032571317236,0.12240645662584626
42.27221811211741,0.036,0.036,11.009261031962318,0.13555989501453425,0.19359091815296559
42.06821811211741,0.072,0.072,9.27896206337996,0.2626244578834509,0.38527676325338334
42.19221811211741,0.064,0.064,10.305730392852698,0.13036857482915387,0.165031423765992
41.74821811211741,0.05600000000000001,0.05600000000000001,10.756148868698299,0.08018432431529376,0.10081012870816863
42.18021811211741,0.11599999999999999,0.11599999999999999,10.298758195473258,0.1444770656036649,0.12648963518059197
41.6002181121174,0.1,0.1,10.36897204021123,0.1516463792599314,0.18249333320517636
42.060218112117404,0.05600000000000001,0.05600000000000001,9.637952503972148,0.14489190168756316,0.14015321178130158
42.404218112117405,0.036,0.036,10.238701975617182,0.17880063683576353,0.2724040295524972
42.660218112117406,0.048,0.048,10.353164928560961,0.11345523225837617,0.12123091978410194
41.6522181121174,0.124,0.124,10.713394056295904,0.09734815972653088,0.0918105867371608
41.79621811211741,0.08000000000000002,0.08000000000000002,10.732941511015373,0.05629279888929872,0.07206647509988251
42.35,0.99,0.99,10.0073182245786,0.1783431117799985,0.12181384205313073
42.41221811211741,0.12,0.12,9.19750461016727,0.19612504797548702,0.25539376579452977
42.88,0.98,0.98,9.16041865191075,0.19408976896854035,0.3357683111646086
42.39,0.99,0.99,10.6766638273404,0.13177435001249904,0.08986008726989958
