peak_luminosity,peak_luminosity_err_upper,peak_luminosity_err_lower,local_aperture_host_log_age,local_aperture_host_log_age_err_upper,local_aperture_host_log_age_err_lower
42.7042181121174,0.028000000000000004,0.028000000000000004,4.186095975876853,3.4949565924001247,4.166464719860846
42.79621811211741,0.12,0.12,5.250511540235296,2.2759439806834614,3.7791205911072403
40.9882181121174,0.16000000000000003,0.16000000000000003,5.586967012471312,2.5194357716613265,5.356241510094135
42.5762181121174,0.10400000000000001,0.10400000000000001,7.276708737605166,1.92457022041142,2.3558250263326634
42.2562181121174,0.04000000000000001,0.04000000000000001,7.798589252194192,2.8296804878351374,2.787760857295118
42.44821811211741,0.044000000000000004,0.044000000000000004,7.107954698483629,4.088002017555113,6.6240129415109585
41.69621811211741,0.12,0.12,5.877834636633395,2.3915759078467254,5.330762878388427
41.620218112117406,0.124,0.124,7.779337641145128,1.4662027406195435,0.9832707844828921
42.200218112117405,0.072,0.072,7.1963643998666225,1.4748879715583492,1.7785906454615672
42.212218112117405,0.028000000000000004,0.028000000000000004,7.710519944319845,4.012027585551056,2.3788039484136716
42.19621811211741,0.072,0.072,2.1932940558802456,4.00043459333255,2.050263672691874
42.15621811211741,0.024,0.024,3.249390053185444,5.010568647155436,3.1610696077620237
42.032218112117405,0.064,0.064,12.040768353607767,0.5594645282937698,2.84381595941959
42.288218112117406,0.04000000000000001,0.04000000000000001,6.921868960328551,1.8578791648016342,2.362835449323475
41.8442181121174,0.12,0.12,7.14634392860656,1.7348125038405708,1.6922745229283338
42.63221811211741,0.06,0.06,6.677128326418451,2.070560637788036,3.722351585899496
42.15621811211741,0.12,0.12,10.865039045329024,1.7033971658747085,2.9192485334862885
42.31221811211741,0.096,0.096,5.984929303604664,1.707712788087374,3.2842533355079433
42.4882181121174,0.05600000000000001,0.05600000000000001,7.507648353236606,2.939694755357282,4.432541706788255
42.0362181121174,0.068,0.068,7.3550625440320605,1.6322412497896739,1.8033102285502567
42.0762181121174,0.052000000000000005,0.052000000000000005,7.0337293251289035,1.67454961090895,2.8097981086638315
42.27221811211741,0.024,0.024,7.019271764747788,1.7417960266496335,1.971254457267336
42.77221811211741,0.028000000000000004,0.028000000000000004,6.423339207741721,1.590123760104591,2.4561727023271787
41.992218112117406,0.072,0.072,10.748524507584746,2.043047393677064,2.418687751770843
41.87621811211741,0.05600000000000001,0.05600000000000001,8.727725416142391,3.038682805972213,0.9667982294735644
42.6642181121174,0.020000000000000004,0.020000000000000004,7.018401628403608,2.148359456039871,3.6167787178746362
41.800218112117406,0.08800000000000001,0.08800000000000001,5.464253410038348,1.3241824817053853,1.8663524502460573
42.7682181121174,0.11599999999999999,0.11599999999999999,7.085725823010801,2.5358600985116233,4.181823924427821
42.06821811211741,0.072,0.072,7.720358771870794,2.3377222277905965,1.6263374432684081
42.19221811211741,0.064,0.064,5.610400586321675,2.1631562107887765,4.048229748332108
41.74821811211741,0.05600000000000001,0.05600000000000001,6.977997908470616,1.643873988628096,2.359036288254634
41.904218112117405,0.05600000000000001,0.05600000000000001,6.885002535554712,1.453621323126086,2.08361695036512
41.6002181121174,0.1,0.1,7.724347557687043,2.0868415056973966,1.7996640401809954
42.060218112117404,0.05600000000000001,0.05600000000000001,5.068467427251319,2.9472107954263542,4.411747592101765
42.404218112117405,0.036,0.036,6.1075588193624055,1.7260624664988242,2.6944934572178614
42.660218112117406,0.048,0.048,7.341533991908347,2.2979460751943828,2.307683676648759
41.6522181121174,0.124,0.124,6.8332365599549565,1.6980230499376692,2.4934271940327735
41.79621811211741,0.08000000000000002,0.08000000000000002,8.106467534322636,1.6810841880327985,0.7613750443795118
42.35,0.99,0.99,6.7962036700971,1.73885621723152,2.2379622029964095
42.88,0.98,0.98,0.628798850716551,5.351851440988009,0.5608415904413124
42.35,0.99,0.99,2.80236720756497,2.4524000437508304,2.165940066456148
42.39,0.99,0.99,6.68999642617388,1.5449441066099192,2.3475688301937003
