peak_luminosity,peak_luminosity_err_upper,peak_luminosity_err_lower,local_aperture_host_logsfh,local_aperture_host_logsfh_err_upper,local_aperture_host_logsfh_err_lower
42.7042181121174,0.028000000000000004,0.028000000000000004,-0.861496015944841,0.354048545549406,0.5314774722149613
42.79621811211741,0.12,0.12,-0.6538779822421533,0.24167620099575315,0.226068183008726
40.9882181121174,0.16000000000000003,0.16000000000000003,-1.3423439955985264,0.5573868987707467,1.1875323983371482
42.5762181121174,0.10400000000000001,0.10400000000000001,-1.3179979184996649,0.40649259142446204,0.4371585688733668
42.2562181121174,0.04000000000000001,0.04000000000000001,-1.1765757266754593,0.525594020056535,0.9490556590782948
42.44821811211741,0.044000000000000004,0.044000000000000004,-1.5702732188597421,0.6580374894351291,0.899682974844489
41.69621811211741,0.12,0.12,-1.2314405514869586,0.47294073086872046,0.34761357827000183
41.620218112117406,0.124,0.124,-1.3090193555446497,0.14311171308344206,0.17006019234088066
42.200218112117405,0.072,0.072,-1.3002092668201897,0.28773617441156474,0.4536480545369348
42.212218112117405,0.028000000000000004,0.028000000000000004,-0.9518460408110601,0.5198997967085928,0.9890025242940887
42.19621811211741,0.072,0.072,-1.4992923415291046,0.32037771389562075,0.44546441852068086
42.15621811211741,0.024,0.024,-2.5687678937953566,0.7627159240681631,0.9823846672708165
42.032218112117405,0.064,0.064,-0.3463991374508407,0.3160456431904635,0.4017013732708493
42.288218112117406,0.04000000000000001,0.04000000000000001,-0.14037133493438192,0.25909071557319313,0.4103251966814717
41.8442181121174,0.12,0.12,-0.5733836128943929,0.2632338552049448,0.38820924968617976
42.63221811211741,0.06,0.06,-1.906876408085356,0.41841861474181785,0.6569270536932847
42.15621811211741,0.12,0.12,-0.5094617825892057,0.3814827725072795,0.6018555928642423
42.31221811211741,0.096,0.096,-1.108550787768175,0.3882152332498995,0.37283345795225054
42.4882181121174,0.05600000000000001,0.05600000000000001,-1.0712271081006701,0.46666619253743125,0.5870120358032029
42.0362181121174,0.068,0.068,-1.0319678277044977,0.29616885280520755,0.46887538439024734
42.0762181121174,0.052000000000000005,0.052000000000000005,0.38226738784022074,0.29416248703362025,0.358641322426691
42.27221811211741,0.024,0.024,-0.6674541602721972,0.29977677878862863,0.48413115515399185
42.77221811211741,0.028000000000000004,0.028000000000000004,-0.8169114241280788,0.3455954788879327,0.30664626771681847
41.992218112117406,0.072,0.072,-1.3650145376469758,0.5932975786032522,0.47270914576811296
41.87621811211741,0.05600000000000001,0.05600000000000001,-1.041464814475147,0.317556162642358,0.4670143242943434
42.6642181121174,0.020000000000000004,0.020000000000000004,0.12925637107936866,0.38686265222659316,0.3924501775970342
41.800218112117406,0.08800000000000001,0.08800000000000001,-2.131914389248717,0.2723188127412257,0.3498540644966375
42.7682181121174,0.11599999999999999,0.11599999999999999,-1.2175953164256912,0.45093489824102706,0.558157465602017
42.06821811211741,0.072,0.072,-1.499883158911321,0.42775507518791556,0.5899452326916834
42.19221811211741,0.064,0.064,-1.1981846418293398,0.39737857249182396,0.5598909523509377
41.74821811211741,0.05600000000000001,0.05600000000000001,-0.9064705848451415,0.1918155336774645,0.2841753998783745
41.904218112117405,0.05600000000000001,0.05600000000000001,-1.1455125469911147,0.40386790349177293,0.6083553331645055
41.6002181121174,0.1,0.1,-0.9729121353932131,0.26590451287956907,0.36485340112672104
42.060218112117404,0.05600000000000001,0.05600000000000001,-1.27422010080229,0.35040718433360585,0.4514096838057997
42.404218112117405,0.036,0.036,-0.43271275219553107,0.22045926373747793,0.2308287684346949
42.660218112117406,0.048,0.048,-1.4830065508784833,0.419879639527561,0.46108423402190324
41.6522181121174,0.124,0.124,-0.9017352903137287,0.3183339400482894,0.26556563820503987
41.79621811211741,0.08000000000000002,0.08000000000000002,-1.0642376743744302,0.13518048035294594,0.13246907923157702
42.35,0.99,0.99,-0.338898029044838,0.20226923594868101,0.274041159086832
42.88,0.98,0.98,-1.74937125134114,0.875259404502912,1.3176538209119002
42.35,0.99,0.99,-1.33867882155102,0.15157189563403994,0.16219917556749008
42.39,0.99,0.99,-1.4996283251069,0.45282655421569995,0.5006746655729399
