peak_luminosity,peak_luminosity_err_upper,peak_luminosity_err_lower,global_aperture_host_log_ssfr,global_aperture_host_log_ssfr_err_upper,global_aperture_host_log_ssfr_err_lower
42.7042181121174,0.028000000000000004,0.028000000000000004,-10.199654355748514,0.421393108624045,0.3742455140846026
42.79621811211741,0.12,0.12,-10.918795572241603,1.3203915451665384,1.4186187469336726
40.9882181121174,0.16000000000000003,0.16000000000000003,-9.826942802956852,0.4767563194293931,0.537104256737587
42.5762181121174,0.10400000000000001,0.10400000000000001,-10.168667843232894,0.5495879945474371,0.46262823025979216
42.2562181121174,0.04000000000000001,0.04000000000000001,-10.693131618915631,0.9993487636438694,1.2567196870421782
42.44821811211741,0.044000000000000004,0.044000000000000004,-10.834438185657017,0.289355241225314,0.3835830856825755
41.620218112117406,0.124,0.124,-9.983216990141985,0.21244676193595247,0.20932773228480883
42.200218112117405,0.072,0.072,-10.181630384151944,0.415989209477134,0.3878505854254293
42.212218112117405,0.028000000000000004,0.028000000000000004,-8.935605187527415,0.8382615818190473,0.9831588876220394
42.19621811211741,0.072,0.072,-9.600194384612088,0.4147396101243217,0.3824752883032758
42.15621811211741,0.024,0.024,-8.387168927863346,0.36685054997662725,0.5326571958009048
42.032218112117405,0.064,0.064,-9.857961131741455,0.41839392157052835,0.6991206804606627
42.288218112117406,0.04000000000000001,0.04000000000000001,-9.99346851654765,0.8487128486287272,0.659167108565093
41.8442181121174,0.12,0.12,-10.571099999730734,0.9444695552685882,1.583415431715034
42.63221811211741,0.06,0.06,-10.369373681179342,0.329866986528641,0.5893565829573522
42.15621811211741,0.12,0.12,-10.343777676208784,0.3847088704907282,0.5404741376262674
42.31221811211741,0.096,0.096,-10.138341780522884,0.3502901913405996,0.3168021321146792
41.96421811211741,0.124,0.124,-10.405533628848767,0.6598706833586849,0.8168125834739559
42.480218112117406,0.132,0.132,-10.851355018222732,0.594240967131471,1.1664914676010643
42.0362181121174,0.068,0.068,-10.499998858637694,0.3872155497482588,0.37487009590056175
42.0762181121174,0.052000000000000005,0.052000000000000005,-9.571374108973714,0.3922603528015838,0.47013434024728795
41.90021811211741,0.11599999999999999,0.11599999999999999,-11.393138619827155,0.35316463791058794,0.4482471407795181
42.77221811211741,0.028000000000000004,0.028000000000000004,-10.077029848734398,0.5190893321013839,0.7065281421420195
41.992218112117406,0.072,0.072,-12.001636359812146,0.40420063210985724,0.5715622497750168
41.87621811211741,0.05600000000000001,0.05600000000000001,-10.47749268644306,0.30034779755892593,0.2681639365272108
41.800218112117406,0.08800000000000001,0.08800000000000001,-9.966589371218193,0.32387998250181305,0.36148625803634715
42.7682181121174,0.11599999999999999,0.11599999999999999,-11.400583216391901,0.7510870374662915,1.228898141951884
42.27221811211741,0.036,0.036,-9.667310996181865,0.509707391593226,0.49534653614650637
42.06821811211741,0.072,0.072,-8.582792431524995,0.6313494686280574,0.7843901069918591
42.19221811211741,0.064,0.064,-9.52667739905615,0.29814607024685813,0.3899504231912676
41.74821811211741,0.05600000000000001,0.05600000000000001,-10.708027078677036,0.323191738336984,0.34085068471392077
42.18021811211741,0.11599999999999999,0.11599999999999999,-11.449863074354717,0.39939890806968137,0.42870346723317176
41.6002181121174,0.1,0.1,-9.835270084614073,0.5149750439969409,0.4885812029528527
42.060218112117404,0.05600000000000001,0.05600000000000001,-10.391822519964654,0.5453225139226063,0.6780522707272816
42.404218112117405,0.036,0.036,-9.482921806872586,0.6173267342605033,0.7337037172860246
42.660218112117406,0.048,0.048,-9.941841683012434,0.44422285569605435,0.41897026668351245
41.6522181121174,0.124,0.124,-10.195402277468947,0.3857151957775695,0.28697945229958854
41.79621811211741,0.08000000000000002,0.08000000000000002,-10.198692819469883,0.3423982905777656,0.2948292896473941
42.35,0.99,0.99,-10.197310275192,0.5278544030581802,0.34775956497249894
42.41221811211741,0.12,0.12,-9.806632336526553,0.6034867458989677,0.42872367263251654
42.88,0.98,0.98,-8.90433172387654,0.7270423076837105,0.5751424703660408
42.39,0.99,0.99,-9.96574819435323,0.4040013127850006,0.4714543724515696
