plateau_duration,plateau_duration_err_upper,plateau_duration_err_lower,local_sfd,local_sfd_err_upper,local_sfd_err_lower
86.2,0.5,0.5,0.033802685476112884,0.05300269226181295,0.018426247998055884
122.6,1.0,1.0,0.020295800058178704,0.013274951006015705,0.007878102668518428
102.0,1.0,1.0,0.016381297593482256,0.017621997339376676,0.007819474900462744
99.4,1.0,1.0,0.0021508892488861626,0.0015684056122492315,0.0010797069505447086
87.8,1.0,1.0,0.0017859990251096636,0.0010658288121747786,0.0006740548783068542
117.9,1.0,1.0,0.00497189572104949,0.02783811765602416,0.004438998079391282
126.6,3.1,3.1,0.0017472182046309168,0.0025635890177167996,0.0009905329329050038
124.2,4.5,4.5,0.009074774614681232,0.0066660060630529035,0.003930392103128156
140.2,2.0,2.0,0.03889130719951255,0.060708553246651954,0.020898252536030903
90.0,2.0,2.0,0.0051802092201089665,0.006560813245752907,0.0030674229926604592
117.8,8.0,8.0,0.024349898816040313,0.021675988817059143,0.011392862301464014
135.2,4.0,4.0,0.012097706400185777,0.0076133498180245215,0.0035657101672121744
110.6,5.0,5.0,0.20688864137141644,0.1850371807635915,0.08515331415716955
80.5,8.0,8.0,0.003111622507148377,0.004871024547982269,0.0019265029060361587
96.0,7.0,7.0,0.00497189572104949,0.02783811765602416,0.004438998079391282
83.2,12.0,12.0,0.002074660325062558,0.003580501503774172,0.0011780704393291445
92.8,5.0,5.0,0.006324573869280842,0.004955385447553886,0.002742925309620753
93.0,5.0,5.0,0.004928020218533519,0.007113840702128114,0.0029903139821556655
92.5,9.0,9.0,0.009354648382831803,0.030321811515419156,0.008065831426966368
87.8,7.0,7.0,0.01019316263463379,0.03267612058743052,0.008166684325893552
108.5,7.0,7.0,0.0880819522849985,0.1112593399500555,0.04410236472661194
86.0,6.0,6.0,0.077176703930439,0.09641456326997715,0.047612659981707814
108.9,7.0,7.0,0.01908476782143036,0.016257787283760695,0.009935900507590368
80.7,6.0,6.0,0.0016542042150705322,0.002159974026549061,0.0011234910641186903
84.9,4.0,4.0,0.03241346142119228,0.041503864210472446,0.019823259360767155
120.2,6.0,6.0,0.0121156448394931,0.022984211797805902,0.007501997647331327
84.2,7.0,7.0,0.005206629821927565,0.014592449223712053,0.003995283162925056
112.9,10.0,10.0,0.009010908186210776,0.0159416217914743,0.006907244304254047
92.6,10.0,10.0,0.20032621258290403,0.23682988603242736,0.14234209206054227
85.2,6.0,6.0,0.0022479588060419745,0.004404854317423759,0.0013935747465309454
96.9,8.0,8.0,0.005270788705900578,0.004869644365112561,0.0024708420492902576
88.3,7.0,7.0,0.051036892932115156,0.07676395611151188,0.03347038922511625
77.3,8.0,8.0,0.0004774465917030504,0.0005666836890050799,0.00026389597601378216
97.7,7.0,7.0,0.0039097209166378145,0.00746206829788266,0.002570884961868799
103.4,5.0,5.0,0.055464774328619945,0.0974397516335705,0.04467507247668147
72.8,6.0,6.0,0.003066684626129096,0.00766100395716268,0.0022174885178050155
41.7,6.0,6.0,0.008479588202218882,0.006739500359523394,0.0037094207518270335
107.67,0.79,0.88,0.0385202046877065,0.08384952562982503,0.028152357126290564
88.05,1.25,1.36,0.2752467978525385,0.3181448699839328,0.18705093125282768
60.57,0.37,0.41,0.004014042175243928,0.004218480185741003,0.0022203193504647034
91.11,1.07,1.43,0.004509781335204692,0.01841883017832036,0.0035875083291873043
