plateau_duration,plateau_duration_err_upper,plateau_duration_err_lower,global_aperture_host_logzsol,global_aperture_host_logzsol_err_upper,global_aperture_host_logzsol_err_lower
86.2,0.5,0.5,-0.8579828441143036,0.2169829837679863,0.27735291278362273
122.6,1.0,1.0,-1.1362974047660828,0.5416563405394554,0.49411823356151574
102.0,1.0,1.0,-1.184074580669403,0.7434129929840565,0.5957230695486069
87.8,1.0,1.0,-0.5962018966674805,0.385063577696681,0.38187200611829764
117.9,1.0,1.0,-0.8462094962596893,0.3673037668168545,0.6608517395257949
126.6,3.1,3.1,-0.995354026556015,0.2422089777588844,0.3141955575942994
124.2,4.5,4.5,-0.36955901980400085,0.36755061365652364,0.47181696015596386
135.5,3.0,3.0,-0.6610856354236603,0.4364575878679753,0.5048029698133469
118.3,5.0,5.0,-1.0400635600090027,0.3486549261808396,0.5019292132854463
140.2,2.0,2.0,-0.3599995821714401,0.36471928794495767,0.625001810491085
90.0,2.0,2.0,-0.2161436602473259,0.19265103683806956,0.21686562001705167
117.8,8.0,8.0,-0.592223316431046,0.407407315790654,0.6506610999107341
106.2,2.0,2.0,-0.89213153719902,0.5387509569823741,0.5841641572713899
110.6,5.0,5.0,-0.176207758486271,0.12355955247581009,0.163254568040371
80.5,8.0,8.0,-0.3086143732070923,0.2888333424944432,0.3763246447443962
96.0,7.0,7.0,-0.8462094962596893,0.3673037668168545,0.6608517395257949
92.8,5.0,5.0,-0.5909352898597717,0.2646596956253051,0.2663613061904907
93.0,5.0,5.0,-1.1182075142860413,0.37445526385307315,0.45691305673122407
92.5,9.0,9.0,-0.6294543445110321,0.5852894309982658,0.9991017746925355
87.8,7.0,7.0,-1.559849739074707,0.4752084956169129,0.27120105063915245
108.5,7.0,7.0,-0.5872152745723724,0.277747082322836,0.4359204914569854
86.0,6.0,6.0,-0.3858529031276703,0.32210663897544156,0.8104066303968429
108.9,7.0,7.0,-0.6329154074192047,0.39933280977606794,0.4980969321727753
80.7,6.0,6.0,-0.9385725557804108,0.2580074343085289,0.34122813808917996
84.9,4.0,4.0,-0.6310968995094299,0.3080344373881818,0.36322257781028744
120.2,6.0,6.0,-1.143231213092804,0.3927297127246856,0.4453950604200363
106.06,4.0,4.0,-1.378379762172699,0.5524688096046448,0.40491851556301106
94.0,8.0,8.0,-0.5053965747356415,0.19793529549241068,0.4328880643844605
112.9,10.0,10.0,-0.716486394405365,0.3407600052654743,0.5263496001958847
92.6,10.0,10.0,-0.15865200757980347,0.23455755888670682,0.48375682222843164
85.6,8.0,8.0,-0.5078752040863037,0.11789976102113725,0.14808356785774235
85.2,6.0,6.0,-0.39936913549900055,0.0978920597732067,0.11664465761184695
96.9,8.0,8.0,-0.4214312732219696,0.16628297460079194,0.2245746403336525
77.3,8.0,8.0,-1.1112055778503418,0.3966383619904519,0.5309079602956772
97.7,7.0,7.0,-1.0367775559425354,0.3417972229719163,0.37347598063945764
71.3,11.0,11.0,-0.37395188212394714,0.2677298996225,0.4908616108894348
103.4,5.0,5.0,-0.4332694709300995,0.17367544522881512,0.2332411450147629
75.3,10.0,10.0,-0.2588733434677124,0.12938305386900906,0.26356558740139
72.8,6.0,6.0,-0.5833889544010162,0.2999975807666779,0.5312517257928848
41.7,6.0,6.0,-0.23650246113538742,0.1191596087068319,0.158554174721241
107.67,0.79,0.88,-0.515375405550003,0.28246790808439204,0.28600213152170195
54.0,7.0,7.0,-0.5415202975273132,0.458179120130837,0.5229873859882355
88.05,1.25,1.36,-1.33876419067383,0.36358061212301385,0.3950339500904101
91.11,1.07,1.43,-0.522577852010727,0.25729634466767304,0.44520882946252793
