plateau_duration,plateau_duration_err_upper,plateau_duration_err_lower,local_aperture_host_logzsol,local_aperture_host_logzsol_err_upper,local_aperture_host_logzsol_err_lower
86.2,0.5,0.5,-0.36889562010765076,0.16616684943437582,0.252152726650238
122.6,1.0,1.0,-0.5618693232536316,0.10702898544073103,0.14086889290809634
102.0,1.0,1.0,-1.5054657459259033,0.38699033463001253,0.3095230505466462
99.4,1.0,1.0,-0.00127043994143605,0.13125220351293707,0.25418041343614495
87.8,1.0,1.0,-1.2788739204406738,0.278765342950821,0.2953868489265441
117.9,1.0,1.0,-1.2438836693763733,0.5208455997109414,0.5216588499546051
126.6,3.1,3.1,-0.8977905213832855,0.4003371577560902,0.6414743361473083
124.2,4.5,4.5,-1.5395758152008057,0.48643029797077175,0.28355491518974296
125.8,0.5,0.5,-0.0892129726707935,0.20704675622284452,0.8283273814618585
135.5,3.0,3.0,-1.047567903995514,0.29760264134407044,0.2849534463882446
118.3,5.0,5.0,-0.26586252450942993,0.22267065923660978,0.2587107733488083
140.2,2.0,2.0,-0.4994370937347412,0.4670528195276857,0.679049726843834
90.0,2.0,2.0,-0.6378190815448761,0.20995753896236424,0.38473696720600126
117.8,8.0,8.0,-0.454180955886841,0.14600548774003996,0.19083823245763804
106.2,2.0,2.0,-1.47014671564102,0.37789602982998005,0.25927189397812
135.2,4.0,4.0,-0.0608497504144907,0.17581720778346072,0.3771394268125293
110.6,5.0,5.0,-0.173900090157986,0.09034200668334989,0.088039709091186
80.5,8.0,8.0,-0.7955511212348938,0.4258016805052759,0.7104919230937958
96.0,7.0,7.0,-1.2438836693763733,0.5208455997109414,0.5216588499546051
83.2,12.0,12.0,-1.4112567901611328,0.5368978003859521,0.34563469076156617
92.8,5.0,5.0,-0.9535810947418213,0.2687243008613587,0.35012518584728247
93.0,5.0,5.0,-1.1742210388183594,0.4271354694366457,0.5212120283842088
92.5,9.0,9.0,-1.117469847202301,0.705125583738089,0.5528025200366973
87.8,7.0,7.0,-1.1972588300704956,0.6301993664503099,0.46197210967540747
108.5,7.0,7.0,-0.27168260514736176,0.11766318419575694,0.15327328506112098
86.0,6.0,6.0,-0.8503484427928925,0.5203353035748005,0.6300551024675369
108.9,7.0,7.0,-1.014053225517273,0.40504531377553943,0.5018069586753846
80.7,6.0,6.0,-1.496094822883606,0.5420657582879067,0.34527410590648655
84.9,4.0,4.0,-1.6513201594352722,0.35463816297054307,0.2255042253732682
120.2,6.0,6.0,-1.062976360321045,0.5327383831739427,0.6117454991340636
84.2,7.0,7.0,-0.5436404645442963,0.5842367659658194,1.1063707658052444
112.9,10.0,10.0,-0.8070329129695892,0.4546052780151368,0.6609048264026642
92.6,10.0,10.0,-0.26653149724006653,0.2621451332531868,0.48189167547225953
85.2,6.0,6.0,-0.5770482122898102,0.21653049361705778,0.45692971074581146
96.9,8.0,8.0,-1.0115882754325867,0.1835309226512909,0.18498627316951755
88.3,7.0,7.0,-0.01842466089874506,0.14478252132982017,0.3222240383550525
77.3,8.0,8.0,-1.477196753025055,0.41253152871131915,0.3020376833677292
97.7,7.0,7.0,-0.46910734474658966,0.5112476980201901,1.0621788748502732
103.4,5.0,5.0,-1.1423973441123962,0.5190332740545275,0.551669215798378
72.8,6.0,6.0,-0.8499550819396973,0.6417791724205018,0.7604470584392549
41.7,6.0,6.0,-0.6134465038776398,0.14706790420413018,0.23789828097820287
107.67,0.79,0.88,-0.520569354295731,0.335648527607322,0.5068580709695789
88.05,1.25,1.36,-1.33295369148254,0.438653598845001,0.37421233403682996
60.57,0.37,0.41,-1.10100150108337,0.5081111065745311,0.5763537489175801
91.11,1.07,1.43,-1.4237813949585,0.5199791502356571,0.37888475751875994
