peak_luminosity,peak_luminosity_err_upper,peak_luminosity_err_lower,global_aperture_host_logsfh,global_aperture_host_logsfh_err_upper,global_aperture_host_logsfh_err_lower
42.7042181121174,0.028000000000000004,0.028000000000000004,0.7987389682807837,0.288857043112547,0.5081130728528185
42.79621811211741,0.12,0.12,-0.7130474146101962,0.8957979728788148,1.536998650048398
40.9882181121174,0.16000000000000003,0.16000000000000003,-0.1983364207428011,0.4227930230767825,1.2775327402087233
42.5762181121174,0.10400000000000001,0.10400000000000001,0.047799625225445744,0.4099186189157344,0.6788791988799376
42.2562181121174,0.04000000000000001,0.04000000000000001,-1.1113411642766613,0.606637796838972,1.5242288683641798
42.44821811211741,0.044000000000000004,0.044000000000000004,-0.8337984739176001,0.2530072897515905,0.48488728932683633
41.620218112117406,0.124,0.124,0.7594024032191151,0.16614906927964124,0.3155197718920919
42.200218112117405,0.072,0.072,-1.2188116805003553,0.2743012710300261,0.5111194096858789
42.212218112117405,0.028000000000000004,0.028000000000000004,1.4403827845805695,0.483784481426746,0.5317719696484994
42.19621811211741,0.072,0.072,-1.2324157197866639,0.29481975978636044,1.1479008043498042
42.15621811211741,0.024,0.024,-2.1255537902720523,1.0700284631898838,1.2203355839730197
42.032218112117405,0.064,0.064,0.9420771780204864,0.4261319150414422,1.4518639837634293
42.288218112117406,0.04000000000000001,0.04000000000000001,1.0625623633711085,0.4723262018757053,1.255264965851195
41.8442181121174,0.12,0.12,0.021118479291930455,0.7872478400622483,1.9183341902375939
42.63221811211741,0.06,0.06,-1.2650258082397394,0.44214446000677976,1.4471822996376396
42.15621811211741,0.12,0.12,-0.4365225855429128,0.6850251316339914,2.032249760632195
42.31221811211741,0.096,0.096,-0.12032708104495056,0.28150873538194426,0.5656754980406911
41.96421811211741,0.124,0.124,-0.4709173973547247,0.46984612280407057,0.9273512615446193
42.480218112117406,0.132,0.132,-0.7299386648223402,0.6942061555229089,1.3846215064642418
42.0362181121174,0.068,0.068,0.2113959198332235,0.3423641162970458,0.3551996096340236
42.0762181121174,0.052000000000000005,0.052000000000000005,1.1507288914147713,0.34827035630299497,0.2841975490425962
41.90021811211741,0.11599999999999999,0.11599999999999999,-0.5063424956243487,0.29340672586816796,0.39897798730542267
42.77221811211741,0.028000000000000004,0.028000000000000004,0.37160394792350765,0.25457121587116077,0.44661581711151077
41.992218112117406,0.072,0.072,-1.1586234871815946,0.37550834850808557,0.6613388039728143
41.87621811211741,0.05600000000000001,0.05600000000000001,-0.16777687622306195,0.21551407132054112,0.4543333939391191
41.800218112117406,0.08800000000000001,0.08800000000000001,-0.44869354093270797,0.39113904874856154,0.8978617884586682
42.7682181121174,0.11599999999999999,0.11599999999999999,-1.8157908558835658,0.8012051501578505,1.9672581229866297
42.27221811211741,0.036,0.036,1.1423503404540172,0.25941118313164635,0.5326659783077081
42.06821811211741,0.072,0.072,-0.2211476803223057,0.3933568036420717,1.370572893844006
42.19221811211741,0.064,0.064,0.18128261366374315,0.19507507493126647,0.25206279915715996
41.74821811211741,0.05600000000000001,0.05600000000000001,0.09199032784616706,0.3946769603596905,0.5070261179114359
42.18021811211741,0.11599999999999999,0.11599999999999999,-1.0799246002039768,0.32716403242710934,0.40424985205320496
41.6002181121174,0.1,0.1,0.34257573074486347,0.40400636880414253,0.681087650826848
42.060218112117404,0.05600000000000001,0.05600000000000001,-0.5018476221471122,0.3063376428962882,0.5074534699811828
42.404218112117405,0.036,0.036,0.15300569023039073,0.42848997155940255,1.2425100173224373
42.660218112117406,0.048,0.048,0.070932378642848,0.2896842553023757,0.41018234070220866
41.6522181121174,0.124,0.124,0.5796379706634827,0.31391526947291337,0.6679793332868005
41.79621811211741,0.08000000000000002,0.08000000000000002,-0.15887537040616548,0.30033371219091987,0.39444653341433467
42.35,0.99,0.99,0.049683444972449,0.215018867164502,0.291408671142529
42.41221811211741,0.12,0.12,-0.6977477457162091,0.29848875281602205,0.5789822453051168
42.88,0.98,0.98,-1.13444595644699,0.47040700419161896,1.33884854107542
42.39,0.99,0.99,0.129498405332621,0.31237905746766004,1.092883804293307
